"","i","test","test.number","avg.pval","avg.stat","flag"
"259",0.23,"Chebyshev Distance Test for Benford Distribution","t6",0,15.1537995663981,0
"260",0.23,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,65.8375886012572,0
"261",0.23,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0556108292832785,0
"262",0.23,"Mantissa Arc Test","t9",0,0.117064168450172,0
"263",0.23,"Mean Absolute Deviation","t10",NA,0.0484069723924115,0
"264",0.23,"Distortion Factor","t11",NA,2.22185945458129,1
"265",0.24,"Chi-Square Test for Benford Distribution","t1",0,2362.46213378457,0
"266",0.24,"Euclidean Distance Test for Benford Distribution","t2",0,19.1359936097722,0
"267",0.24,"Joint Digits Test","t3",0,2362.46213378457,0
"268",0.24,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.356942444706031,0
"269",0.24,"K-S Test for Benford Distribution","t5",0,16.3283254719662,0
"270",0.24,"Chebyshev Distance Test for Benford Distribution","t6",0,14.9101995663981,0
"271",0.24,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,64.0892142708348,0
"272",0.24,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0537395265067973,0
"273",0.24,"Mantissa Arc Test","t9",0,0.114094382372976,0
"274",0.24,"Mean Absolute Deviation","t10",NA,0.0477425637391774,0
"275",0.24,"Distortion Factor","t11",NA,2.06340531224521,1
"276",0.25,"Chi-Square Test for Benford Distribution","t1",0,2279.92901476938,0
"277",0.25,"Euclidean Distance Test for Benford Distribution","t2",0,18.8601115208404,0
"278",0.25,"Joint Digits Test","t3",0,2279.92901476939,0
"279",0.25,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.370326433101895,0
"280",0.25,"K-S Test for Benford Distribution","t5",0,16.1121254719662,0
"281",0.25,"Chebyshev Distance Test for Benford Distribution","t6",0,14.7601995663981,0
"282",0.25,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,61.9500116151759,0
"283",0.25,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0543873958455982,0
"284",0.25,"Mantissa Arc Test","t9",0,0.109947220160116,0
"285",0.25,"Mean Absolute Deviation","t10",NA,0.0468038254900901,0
"286",0.25,"Distortion Factor","t11",NA,2.20155342732498,1
"287",0.26,"Chi-Square Test for Benford Distribution","t1",0,2259.75613872245,0
"288",0.26,"Euclidean Distance Test for Benford Distribution","t2",0,18.7229693154493,0
"289",0.26,"Joint Digits Test","t3",0,2259.75613872245,0
"290",0.26,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.378343616227233,0
"291",0.26,"K-S Test for Benford Distribution","t5",0,15.9797254719662,0
"292",0.26,"Chebyshev Distance Test for Benford Distribution","t6",0,14.5985995663981,0
"293",0.26,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,61.2851379690859,0
"294",0.26,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0530211505658836,0
"295",0.26,"Mantissa Arc Test","t9",0,0.108907919147329,0
"296",0.26,"Mean Absolute Deviation","t10",NA,0.0466149723924115,0
"297",0.26,"Distortion Factor","t11",NA,2.11462910294316,1
"298",0.27,"Chi-Square Test for Benford Distribution","t1",0,2201.98761867057,0
"299",0.27,"Euclidean Distance Test for Benford Distribution","t2",0,18.5262491603221,0
"300",0.27,"Joint Digits Test","t3",0,2201.98761867057,0
"301",0.27,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.3877045296196,0
"302",0.27,"K-S Test for Benford Distribution","t5",0,15.9049254719662,0
"303",0.27,"Chebyshev Distance Test for Benford Distribution","t6",0,14.4845995663981,0
"304",0.27,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,59.9299718363604,0
"305",0.27,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0541229960876756,0
"306",0.27,"Mantissa Arc Test","t9",0,0.106286206652052,0
"307",0.27,"Mean Absolute Deviation","t10",NA,0.0460651588234235,0
"308",0.27,"Distortion Factor","t11",NA,2.33619714674371,1
"309",0.28,"Chi-Square Test for Benford Distribution","t1",0,2120.12251930641,0
"310",0.28,"Euclidean Distance Test for Benford Distribution","t2",0,18.0992541729693,0
"311",0.28,"Joint Digits Test","t3",0,2120.12251930642,0
